_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-08-29 00:00:00,달콤한밤,문자,6,0,1.0,1,5,6
2019-08-29 00:00:00,달콤한밤,Kakao,8,0,1.6,1,4,5
2019-08-29 00:00:00,달콤한밤,TBS,34,0,3.4,2,8,10
2019-08-29 00:00:00,러브레터,문자,3,0,1.5,0,2,2
2019-08-29 00:00:00,러브레터,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,러브레터,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,노래하는FM,문자,4,0,1.0,1,3,4
2019-08-29 00:00:00,노래하는FM,Kakao,1,0,1.0,0,1,1
2019-08-29 00:00:00,노래하는FM,TBS,4,0,4.0,1,0,1
2019-08-29 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,라디오를켜라,문자,101,19,1.5,10,56,66
2019-08-29 00:00:00,라디오를켜라,Kakao,68,8,2.3,3,26,29
2019-08-29 00:00:00,라디오를켜라,TBS,122,0,1.9,8,55,63
2019-08-29 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,김어준 뉴스공장,문자,183,0,1.7,11,95,106
2019-08-29 00:00:00,김어준 뉴스공장,Kakao,149,0,4.5,0,33,33
2019-08-29 00:00:00,김어준 뉴스공장,TBS,3695,0,3.8,65,908,973
2019-08-29 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,김규리 퐁당퐁당,문자,51,14,1.2,6,38,44
2019-08-29 00:00:00,김규리 퐁당퐁당,Kakao,39,3,1.6,3,22,25
2019-08-29 00:00:00,김규리 퐁당퐁당,TBS,82,0,1.3,7,56,63
2019-08-29 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,기분좋은 토요일/일요일,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,좋은사람들 송정애,문자,115,1,1.3,22,66,88
2019-08-29 00:00:00,좋은사람들 송정애,Kakao,73,2,1.6,2,45,47
2019-08-29 00:00:00,좋은사람들 송정애,TBS,98,0,2.1,6,41,47
2019-08-29 00:00:00,배칠수,문자,134,8,1.2,16,93,109
2019-08-29 00:00:00,배칠수,Kakao,136,0,2.4,3,53,56
2019-08-29 00:00:00,배칠수,TBS,342,0,4.4,6,72,78
2019-08-29 00:00:00,최일구,문자,179,3,1.3,24,116,140
2019-08-29 00:00:00,최일구,Kakao,156,0,2.9,5,48,53
2019-08-29 00:00:00,최일구,TBS,191,0,2.7,9,63,72
2019-08-29 00:00:00,이은미,문자,250,252,1.4,38,139,177
2019-08-29 00:00:00,이은미,Kakao,91,5,1.7,5,48,53
2019-08-29 00:00:00,이은미,TBS,274,0,3.4,12,68,80
2019-08-29 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,김지윤,문자,26,0,1.2,9,12,21
2019-08-29 00:00:00,김지윤,Kakao,6,0,1.0,1,5,6
2019-08-29 00:00:00,김지윤,TBS,181,0,5.5,4,29,33
2019-08-29 00:00:00,아닌밤중 주진우,문자,8,0,1.6,1,4,5
2019-08-29 00:00:00,아닌밤중 주진우,Kakao,21,0,3.5,0,6,6
2019-08-29 00:00:00,아닌밤중 주진우,TBS,11,0,1.8,3,3,6
2019-08-29 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-08-29 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,우리동네 라디오,문자,0,0,0.0,0,0,0
2019-08-29 00:00:00,우리동네 라디오,Kakao,1,0,1.0,1,0,1
2019-08-29 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-08-29 00:00:00,서울브루스,문자,13,0,1.2,4,7,11
2019-08-29 00:00:00,서울브루스,Kakao,12,0,4.0,1,2,3
2019-08-29 00:00:00,서울브루스,TBS,7,0,1.4,1,4,5
2019-08-29 00:00:00,마이웨이,문자,7,0,1.2,2,4,6
2019-08-29 00:00:00,마이웨이,Kakao,15,0,1.9,1,7,8
2019-08-29 00:00:00,마이웨이,TBS,370,0,16.8,2,20,22
