_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-09-24 00:00:00,달콤한밤,문자,26,2,1.7,1,14,15
2019-09-24 00:00:00,달콤한밤,Kakao,36,3,2.1,1,16,17
2019-09-24 00:00:00,달콤한밤,TBS,50,0,3.8,1,12,13
2019-09-24 00:00:00,러브레터,문자,2,0,1.0,1,1,2
2019-09-24 00:00:00,러브레터,Kakao,2,0,1.0,1,1,2
2019-09-24 00:00:00,러브레터,TBS,1,0,1.0,0,1,1
2019-09-24 00:00:00,노래하는FM,문자,3,0,1.0,2,1,3
2019-09-24 00:00:00,노래하는FM,Kakao,4,0,2.0,0,2,2
2019-09-24 00:00:00,노래하는FM,TBS,4,0,1.0,2,2,4
2019-09-24 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,라디오를켜라,문자,76,18,1.5,6,44,50
2019-09-24 00:00:00,라디오를켜라,Kakao,55,10,2.4,0,23,23
2019-09-24 00:00:00,라디오를켜라,TBS,102,0,2.0,9,43,52
2019-09-24 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,김어준 뉴스공장,문자,101,0,1.5,6,61,67
2019-09-24 00:00:00,김어준 뉴스공장,Kakao,68,0,4.5,0,15,15
2019-09-24 00:00:00,김어준 뉴스공장,TBS,2302,0,3.8,26,577,603
2019-09-24 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,김규리 퐁당퐁당,문자,109,8,1.3,22,64,86
2019-09-24 00:00:00,김규리 퐁당퐁당,Kakao,70,16,1.8,11,27,38
2019-09-24 00:00:00,김규리 퐁당퐁당,TBS,129,0,1.3,23,75,98
2019-09-24 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,기분좋은 토요일/일요일,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,좋은사람들 송정애,문자,84,7,1.3,18,46,64
2019-09-24 00:00:00,좋은사람들 송정애,Kakao,65,2,1.7,5,33,38
2019-09-24 00:00:00,좋은사람들 송정애,TBS,76,0,2.5,4,27,31
2019-09-24 00:00:00,배칠수,문자,65,0,1.1,6,52,58
2019-09-24 00:00:00,배칠수,Kakao,71,1,1.7,1,42,43
2019-09-24 00:00:00,배칠수,TBS,221,0,3.5,6,58,64
2019-09-24 00:00:00,최일구,문자,206,2,1.3,16,138,154
2019-09-24 00:00:00,최일구,Kakao,154,2,2.3,8,59,67
2019-09-24 00:00:00,최일구,TBS,197,0,2.1,17,75,92
2019-09-24 00:00:00,이은미,문자,106,113,1.4,14,60,74
2019-09-24 00:00:00,이은미,Kakao,37,1,2.2,1,16,17
2019-09-24 00:00:00,이은미,TBS,163,0,3.7,9,35,44
2019-09-24 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,김지윤,문자,23,0,1.4,5,11,16
2019-09-24 00:00:00,김지윤,Kakao,8,0,1.6,0,5,5
2019-09-24 00:00:00,김지윤,TBS,88,0,3.0,6,23,29
2019-09-24 00:00:00,아닌밤중 주진우,문자,18,1,3.0,3,3,6
2019-09-24 00:00:00,아닌밤중 주진우,Kakao,22,0,2.8,0,8,8
2019-09-24 00:00:00,아닌밤중 주진우,TBS,16,0,1.5,3,8,11
2019-09-24 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-09-24 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-09-24 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,우리동네 라디오,문자,1,0,1.0,1,0,1
2019-09-24 00:00:00,우리동네 라디오,Kakao,10,0,10.0,1,0,1
2019-09-24 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-09-24 00:00:00,서울브루스,문자,9,0,1.1,1,7,8
2019-09-24 00:00:00,서울브루스,Kakao,20,0,6.7,0,3,3
2019-09-24 00:00:00,서울브루스,TBS,6,0,1.5,1,3,4
2019-09-24 00:00:00,마이웨이,문자,61,2,1.8,10,24,34
2019-09-24 00:00:00,마이웨이,Kakao,48,0,2.7,4,14,18
2019-09-24 00:00:00,마이웨이,TBS,258,0,10.3,6,19,25
