_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-09-10 00:00:00,달콤한밤,문자,26,2,3.3,1,7,8
2019-09-10 00:00:00,달콤한밤,Kakao,28,1,2.0,1,13,14
2019-09-10 00:00:00,달콤한밤,TBS,26,0,1.9,1,13,14
2019-09-10 00:00:00,러브레터,문자,14,0,2.8,1,4,5
2019-09-10 00:00:00,러브레터,Kakao,9,0,3.0,2,1,3
2019-09-10 00:00:00,러브레터,TBS,2,0,1.0,0,2,2
2019-09-10 00:00:00,노래하는FM,문자,1,0,1.0,0,1,1
2019-09-10 00:00:00,노래하는FM,Kakao,16,0,4.0,3,1,4
2019-09-10 00:00:00,노래하는FM,TBS,6,0,2.0,1,2,3
2019-09-10 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,라디오를켜라,문자,71,23,1.7,5,36,41
2019-09-10 00:00:00,라디오를켜라,Kakao,57,9,2.4,1,23,24
2019-09-10 00:00:00,라디오를켜라,TBS,87,0,1.8,8,40,48
2019-09-10 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,김어준 뉴스공장,문자,329,0,2.1,17,142,159
2019-09-10 00:00:00,김어준 뉴스공장,Kakao,239,0,4.4,4,50,54
2019-09-10 00:00:00,김어준 뉴스공장,TBS,5427,0,4.0,121,1231,1352
2019-09-10 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,김규리 퐁당퐁당,문자,103,6,1.4,25,48,73
2019-09-10 00:00:00,김규리 퐁당퐁당,Kakao,78,4,1.7,8,37,45
2019-09-10 00:00:00,김규리 퐁당퐁당,TBS,148,0,1.8,17,66,83
2019-09-10 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,기분좋은 토요일/일요일,TBS,1,0,1.0,1,0,1
2019-09-10 00:00:00,좋은사람들 송정애,문자,83,2,1.5,13,43,56
2019-09-10 00:00:00,좋은사람들 송정애,Kakao,80,2,2.1,6,32,38
2019-09-10 00:00:00,좋은사람들 송정애,TBS,107,0,2.9,7,30,37
2019-09-10 00:00:00,배칠수,문자,91,16,1.6,8,50,58
2019-09-10 00:00:00,배칠수,Kakao,160,2,3.6,2,42,44
2019-09-10 00:00:00,배칠수,TBS,461,0,5.6,8,75,83
2019-09-10 00:00:00,최일구,문자,185,6,1.3,22,122,144
2019-09-10 00:00:00,최일구,Kakao,143,3,2.3,4,57,61
2019-09-10 00:00:00,최일구,TBS,203,0,3.1,11,54,65
2019-09-10 00:00:00,이은미,문자,183,183,1.2,62,93,155
2019-09-10 00:00:00,이은미,Kakao,63,0,1.5,5,38,43
2019-09-10 00:00:00,이은미,TBS,124,0,2.0,16,47,63
2019-09-10 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,김지윤,문자,49,0,2.2,5,17,22
2019-09-10 00:00:00,김지윤,Kakao,6,0,1.0,2,4,6
2019-09-10 00:00:00,김지윤,TBS,162,0,3.2,6,44,50
2019-09-10 00:00:00,아닌밤중 주진우,문자,21,0,2.1,0,10,10
2019-09-10 00:00:00,아닌밤중 주진우,Kakao,21,0,4.2,0,5,5
2019-09-10 00:00:00,아닌밤중 주진우,TBS,13,0,1.4,0,9,9
2019-09-10 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-09-10 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,우리동네 라디오,문자,2,0,1.0,1,1,2
2019-09-10 00:00:00,우리동네 라디오,Kakao,0,0,0.0,0,0,0
2019-09-10 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,서울브루스,문자,7,0,1.0,1,6,7
2019-09-10 00:00:00,서울브루스,Kakao,8,0,2.7,1,2,3
2019-09-10 00:00:00,서울브루스,TBS,0,0,0.0,0,0,0
2019-09-10 00:00:00,마이웨이,문자,28,0,1.9,2,13,15
2019-09-10 00:00:00,마이웨이,Kakao,20,0,2.0,2,8,10
2019-09-10 00:00:00,마이웨이,TBS,238,0,10.8,0,22,22
