_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-09-13 00:00:00,달콤한밤,문자,52,5,1.5,9,26,35
2019-09-13 00:00:00,달콤한밤,Kakao,57,0,3.6,2,14,16
2019-09-13 00:00:00,달콤한밤,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,러브레터,문자,10,0,1.1,2,7,9
2019-09-13 00:00:00,러브레터,Kakao,3,0,1.5,1,1,2
2019-09-13 00:00:00,러브레터,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,노래하는FM,문자,2,0,2.0,0,1,1
2019-09-13 00:00:00,노래하는FM,Kakao,5,0,5.0,1,0,1
2019-09-13 00:00:00,노래하는FM,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,라디오를켜라,문자,89,25,1.6,14,43,57
2019-09-13 00:00:00,라디오를켜라,Kakao,45,11,2.1,5,16,21
2019-09-13 00:00:00,라디오를켜라,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,김어준 뉴스공장,문자,162,17,1.4,75,43,118
2019-09-13 00:00:00,김어준 뉴스공장,Kakao,68,0,2.3,12,18,30
2019-09-13 00:00:00,김어준 뉴스공장,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,김규리 퐁당퐁당,문자,80,8,1.3,34,29,63
2019-09-13 00:00:00,김규리 퐁당퐁당,Kakao,35,4,1.3,11,15,26
2019-09-13 00:00:00,김규리 퐁당퐁당,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,기분좋은 토요일/일요일,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,좋은사람들 송정애,문자,123,22,1.3,47,46,93
2019-09-13 00:00:00,좋은사람들 송정애,Kakao,89,4,2.0,7,37,44
2019-09-13 00:00:00,좋은사람들 송정애,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,배칠수,문자,1042,31,1.6,411,256,667
2019-09-13 00:00:00,배칠수,Kakao,430,4,3.3,44,88,132
2019-09-13 00:00:00,배칠수,TBS,3,0,3.0,1,0,1
2019-09-13 00:00:00,최일구,문자,355,4,1.6,97,123,220
2019-09-13 00:00:00,최일구,Kakao,189,6,2.5,25,51,76
2019-09-13 00:00:00,최일구,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,이은미,문자,425,443,1.7,115,139,254
2019-09-13 00:00:00,이은미,Kakao,161,3,2.1,12,65,77
2019-09-13 00:00:00,이은미,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,김지윤,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,김지윤,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,김지윤,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,아닌밤중 주진우,문자,35,9,1.3,17,11,28
2019-09-13 00:00:00,아닌밤중 주진우,Kakao,24,0,2.7,1,8,9
2019-09-13 00:00:00,아닌밤중 주진우,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-09-13 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-09-13 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,우리동네 라디오,문자,7,0,1.2,6,0,6
2019-09-13 00:00:00,우리동네 라디오,Kakao,6,0,2.0,2,1,3
2019-09-13 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,서울브루스,문자,36,4,1.5,12,12,24
2019-09-13 00:00:00,서울브루스,Kakao,11,0,1.8,1,5,6
2019-09-13 00:00:00,서울브루스,TBS,0,0,0.0,0,0,0
2019-09-13 00:00:00,마이웨이,문자,81,5,2.0,10,30,40
2019-09-13 00:00:00,마이웨이,Kakao,88,1,3.4,7,19,26
2019-09-13 00:00:00,마이웨이,TBS,0,0,0.0,0,0,0
