_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-09-11 00:00:00,달콤한밤,문자,13,2,1.6,1,7,8
2019-09-11 00:00:00,달콤한밤,Kakao,51,0,4.6,1,10,11
2019-09-11 00:00:00,달콤한밤,TBS,24,0,1.6,1,14,15
2019-09-11 00:00:00,러브레터,문자,1,0,1.0,1,0,1
2019-09-11 00:00:00,러브레터,Kakao,6,0,2.0,0,3,3
2019-09-11 00:00:00,러브레터,TBS,1,0,1.0,0,1,1
2019-09-11 00:00:00,노래하는FM,문자,1,0,1.0,0,1,1
2019-09-11 00:00:00,노래하는FM,Kakao,1,0,1.0,0,1,1
2019-09-11 00:00:00,노래하는FM,TBS,3,0,1.0,0,3,3
2019-09-11 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,라디오를켜라,문자,90,18,1.8,5,44,49
2019-09-11 00:00:00,라디오를켜라,Kakao,54,12,2.0,2,25,27
2019-09-11 00:00:00,라디오를켜라,TBS,108,0,2.3,10,36,46
2019-09-11 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,김어준 뉴스공장,문자,57,0,1.2,6,40,46
2019-09-11 00:00:00,김어준 뉴스공장,Kakao,72,0,4.8,0,15,15
2019-09-11 00:00:00,김어준 뉴스공장,TBS,1694,0,3.4,28,470,498
2019-09-11 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,김규리 퐁당퐁당,문자,59,2,1.3,16,31,47
2019-09-11 00:00:00,김규리 퐁당퐁당,Kakao,43,2,1.5,6,22,28
2019-09-11 00:00:00,김규리 퐁당퐁당,TBS,96,0,1.5,13,52,65
2019-09-11 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,기분좋은 토요일/일요일,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,좋은사람들 송정애,문자,125,8,1.6,25,53,78
2019-09-11 00:00:00,좋은사람들 송정애,Kakao,72,1,1.8,4,35,39
2019-09-11 00:00:00,좋은사람들 송정애,TBS,87,0,2.6,2,32,34
2019-09-11 00:00:00,배칠수,문자,169,22,1.3,24,106,130
2019-09-11 00:00:00,배칠수,Kakao,269,7,4.3,5,57,62
2019-09-11 00:00:00,배칠수,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,최일구,문자,256,3,1.3,58,134,192
2019-09-11 00:00:00,최일구,Kakao,155,2,2.4,9,56,65
2019-09-11 00:00:00,최일구,TBS,1,0,1.0,0,1,1
2019-09-11 00:00:00,이은미,문자,418,426,1.4,127,179,306
2019-09-11 00:00:00,이은미,Kakao,125,2,1.8,4,64,68
2019-09-11 00:00:00,이은미,TBS,1,0,1.0,0,1,1
2019-09-11 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,김지윤,문자,223,7,1.2,117,64,181
2019-09-11 00:00:00,김지윤,Kakao,83,3,1.8,25,22,47
2019-09-11 00:00:00,김지윤,TBS,1,0,1.0,0,1,1
2019-09-11 00:00:00,아닌밤중 주진우,문자,36,4,1.2,13,18,31
2019-09-11 00:00:00,아닌밤중 주진우,Kakao,24,0,2.0,5,7,12
2019-09-11 00:00:00,아닌밤중 주진우,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-09-11 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-09-11 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,우리동네 라디오,문자,6,0,1.0,5,1,6
2019-09-11 00:00:00,우리동네 라디오,Kakao,5,0,1.3,4,0,4
2019-09-11 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,서울브루스,문자,25,0,1.1,14,9,23
2019-09-11 00:00:00,서울브루스,Kakao,19,0,1.7,3,8,11
2019-09-11 00:00:00,서울브루스,TBS,0,0,0.0,0,0,0
2019-09-11 00:00:00,마이웨이,문자,96,0,1.7,14,41,55
2019-09-11 00:00:00,마이웨이,Kakao,60,0,3.3,7,11,18
2019-09-11 00:00:00,마이웨이,TBS,0,0,0.0,0,0,0
