_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-10-04 00:00:00,달콤한밤,문자,22,0,1.5,6,9,15
2019-10-04 00:00:00,달콤한밤,Kakao,20,0,3.3,0,6,6
2019-10-04 00:00:00,달콤한밤,TBS,41,0,3.2,2,11,13
2019-10-04 00:00:00,러브레터,문자,10,0,1.3,2,6,8
2019-10-04 00:00:00,러브레터,Kakao,5,0,2.5,1,1,2
2019-10-04 00:00:00,러브레터,TBS,0,0,0.0,0,0,0
2019-10-04 00:00:00,노래하는FM,문자,3,0,1.0,1,2,3
2019-10-04 00:00:00,노래하는FM,Kakao,4,0,4.0,0,1,1
2019-10-04 00:00:00,노래하는FM,TBS,0,0,0.0,0,0,0
2019-10-04 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-10-04 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-10-04 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-10-04 00:00:00,라디오를켜라,문자,74,12,1.8,5,37,42
2019-10-04 00:00:00,라디오를켜라,Kakao,45,7,2.0,2,20,22
2019-10-04 00:00:00,라디오를켜라,TBS,134,0,2.1,12,51,63
2019-10-04 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-10-04 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-10-04 00:00:00,김어준 뉴스공장 주말특근,TBS,0,0,0.0,0,0,0
2019-10-04 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-10-04 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-10-04 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-10-04 00:00:00,김어준 뉴스공장,문자,387,0,2.0,50,141,191
2019-10-04 00:00:00,김어준 뉴스공장,Kakao,268,0,5.0,6,48,54
2019-10-04 00:00:00,김어준 뉴스공장,TBS,6516,0,3.9,183,1509,1692
