_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-08-24 00:00:00,달콤한밤,문자,7,0,1.4,0,5,5
2019-08-24 00:00:00,달콤한밤,Kakao,9,0,2.3,2,2,4
2019-08-24 00:00:00,달콤한밤,TBS,108,0,10.8,0,10,10
2019-08-24 00:00:00,러브레터,문자,5,0,1.0,1,4,5
2019-08-24 00:00:00,러브레터,Kakao,1,0,1.0,0,1,1
2019-08-24 00:00:00,러브레터,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,노래하는FM,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,노래하는FM,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,노래하는FM,TBS,2,0,1.0,0,2,2
2019-08-24 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,라디오를켜라,문자,31,0,1.6,3,17,20
2019-08-24 00:00:00,라디오를켜라,Kakao,14,0,2.3,0,6,6
2019-08-24 00:00:00,라디오를켜라,TBS,34,0,1.5,5,18,23
2019-08-24 00:00:00,김어준 뉴스공장 주말특근,문자,29,0,2.9,9,1,10
2019-08-24 00:00:00,김어준 뉴스공장 주말특근,Kakao,2,0,1.0,1,1,2
2019-08-24 00:00:00,김어준 뉴스공장 주말특근,TBS,73,0,1.4,36,17,53
2019-08-24 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,김어준 뉴스공장,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,김어준 뉴스공장,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,김어준 뉴스공장,TBS,1,0,1.0,0,1,1
2019-08-24 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,김규리 퐁당퐁당,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,김규리 퐁당퐁당,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,김규리 퐁당퐁당,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,기분좋은 토요일/일요일,문자,39,4,2.1,4,15,19
2019-08-24 00:00:00,기분좋은 토요일/일요일,Kakao,23,0,2.1,0,11,11
2019-08-24 00:00:00,기분좋은 토요일/일요일,TBS,87,0,2.4,9,27,36
2019-08-24 00:00:00,좋은사람들 송정애,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,좋은사람들 송정애,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,좋은사람들 송정애,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,배칠수,문자,416,48,1.8,61,175,236
2019-08-24 00:00:00,배칠수,Kakao,294,10,4.3,7,62,69
2019-08-24 00:00:00,배칠수,TBS,455,0,5.5,13,69,82
2019-08-24 00:00:00,최일구,문자,44,0,1.3,9,25,34
2019-08-24 00:00:00,최일구,Kakao,46,0,3.5,0,13,13
2019-08-24 00:00:00,최일구,TBS,34,0,2.4,1,13,14
2019-08-24 00:00:00,이은미,문자,52,43,1.8,5,24,29
2019-08-24 00:00:00,이은미,Kakao,23,0,2.9,1,7,8
2019-08-24 00:00:00,이은미,TBS,74,0,2.2,4,29,33
2019-08-24 00:00:00,웅산,문자,39,9,1.3,16,13,29
2019-08-24 00:00:00,웅산,Kakao,21,1,2.6,2,6,8
2019-08-24 00:00:00,웅산,TBS,35,0,4.4,2,6,8
2019-08-24 00:00:00,김지윤,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,김지윤,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,김지윤,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,아닌밤중 주진우,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,아닌밤중 주진우,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,아닌밤중 주진우,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,주말이 좋다,문자,53,0,2.9,7,11,18
2019-08-24 00:00:00,주말이 좋다,Kakao,16,0,2.7,2,4,6
2019-08-24 00:00:00,주말이 좋다,TBS,43,0,6.1,1,6,7
2019-08-24 00:00:00,우리동네 라디오,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,우리동네 라디오,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,서울브루스,문자,0,0,0.0,0,0,0
2019-08-24 00:00:00,서울브루스,Kakao,0,0,0.0,0,0,0
2019-08-24 00:00:00,서울브루스,TBS,0,0,0.0,0,0,0
2019-08-24 00:00:00,마이웨이,문자,10,0,1.1,3,6,9
2019-08-24 00:00:00,마이웨이,Kakao,8,0,1.3,1,5,6
2019-08-24 00:00:00,마이웨이,TBS,388,0,22.8,1,16,17
